Name,Age,Salary,Purchased
Aditya,42.0,26542,Yes
Aditi,24.0,46677,No
Rahul,26.0,71732,Yes
Aditi,41.0,75343,Yes
Vihaan,18.0,64081,No
Amit,25.0,87856,Yes
Rohan,41.0,118105,Yes
Ananya,28.0,113858,Yes
Pooja,34.0,44065,Yes
Simran,25.0,149097,No
Raj,52.0,108460,No
Sai,52.0,113092,No
Raj,50.0,79693,No
Raj,22.0,51962,Yes
Krishna,59.0,53295,Yes
Neha,56.0,38807,No
Rohan,58.0,67348,No
Riya,45.0,51432,No
Neha,24.0,108285,Yes
Pooja,26.0,131995,No
Aditya,25.0,116792,No
Aisha,29.0,82854,No
Pooja,51.0,65262,Yes
Sai,,62080,Yes
Sneha,40.0,26324,Yes
Meera,41.0,116267,Yes
Rahul,54.0,149707,Yes
Sai,52.0,60909,Yes
Ananya,57.0,114339,Yes
Amit,39.0,44870,Yes
Rohan,44.0,59578,No
Pooja,52.0,97124,No
Riya,18.0,142611,Yes
Sneha,52.0,128605,Yes
Rahul,54.0,51790,No
Neha,,143874,Yes
Vikram,20.0,50289,Yes
Simran,18.0,80129,Yes
Nisha,22.0,118714,No
Nisha,43.0,119246,No
Vivaan,31.0,40485,No
Rahul,56.0,69482,No
Simran,44.0,111188,No
Vivaan,26.0,29748,Yes
Ishita,32.0,111769,No
Vikram,32.0,34435,Yes
Amit,43.0,28709,Yes
Rohan,59.0,148961,No
Aditya,30.0,55355,No
Krishna,49.0,80771,Yes
Kavya,56.0,82799,Yes
Riya,49.0,38116,Yes
Vikram,21.0,50470,No
Krishna,47.0,67344,No
Pooja,54.0,67918,No
Diya,40.0,77224,No
Amit,56.0,64298,No
Pooja,32.0,133492,Yes
Ananya,60.0,105219,No
Arjun,46.0,86629,Yes
Rohan,53.0,91040,Yes
Arjun,,124518,Yes
Rahul,49.0,124835,No
Meera,24.0,53016,No
Sneha,39.0,48960,No
Sneha,45.0,58591,Yes
Rohan,19.0,107848,Yes
Meera,,128333,Yes
Kavya,23.0,136732,Yes
Sanjay,45.0,139821,Yes
Kavya,45.0,92641,Yes
Amit,37.0,61395,No
Raj,,136276,No
Rahul,28.0,47700,No
Arjun,45.0,59620,No
Priya,42.0,128214,Yes
Diya,56.0,45559,Yes
Aditya,50.0,118045,No
Nisha,18.0,118396,Yes
Vivaan,44.0,86642,No
Aditi,30.0,101539,No
Vihaan,58.0,46732,No
Arjun,20.0,116362,Yes
Pooja,56.0,55354,No
Sai,,38843,No
Ishita,25.0,135008,No
Neha,44.0,139065,Yes
Sanjay,26.0,96726,Yes
Aisha,54.0,42640,No
Aditya,50.0,77528,Yes
Amit,59.0,63413,Yes
Amit,41.0,77638,Yes
Aisha,32.0,77736,Yes
Ananya,49.0,132892,Yes
Priya,49.0,135133,Yes
Rohan,41.0,131357,Yes
Sneha,58.0,93866,Yes
Aditi,,44087,Yes
Aarav,56.0,66430,Yes
Neha,19.0,49504,No
Meera,20.0,32114,No
Vihaan,54.0,103859,Yes
Neha,34.0,124657,No
Sneha,,35975,No
Nisha,19.0,36023,Yes
Rohan,45.0,46447,Yes
Nisha,,115469,Yes
Pooja,54.0,48959,No
Vikram,49.0,91203,No
Vihaan,,144156,Yes
Karan,18.0,54703,Yes
Sanjay,36.0,34337,Yes
Sai,19.0,71427,No
Ananya,43.0,146507,No
Aarav,49.0,86529,No
Meera,23.0,127023,No
Meera,49.0,109665,Yes
Rohan,21.0,130787,Yes
Priya,28.0,56921,Yes
Nisha,34.0,58307,Yes
Sai,55.0,52355,No
Priya,41.0,128268,No
Vihaan,,29835,Yes
Aditi,51.0,45159,Yes
Pooja,23.0,129346,No
Karan,,72605,Yes
Simran,28.0,146790,No
Pooja,33.0,130616,Yes
Priya,,63088,Yes
Aisha,26.0,103752,Yes
Krishna,23.0,80284,Yes
Arjun,33.0,82043,Yes
Raj,46.0,60547,Yes
Nisha,20.0,122007,Yes
Sai,37.0,107844,No
Sneha,53.0,52532,No
Nisha,36.0,59349,No
Priya,43.0,147402,No
Aarav,20.0,143012,No
Aisha,36.0,70445,Yes
Vikram,37.0,30713,Yes
Diya,49.0,81178,No
Aarav,24.0,74407,Yes
Vihaan,58.0,95340,No
Raj,50.0,75990,No
Simran,57.0,100672,Yes
Ishita,56.0,90545,Yes
Karan,35.0,109791,Yes
Rahul,57.0,83141,No
Vivaan,18.0,48793,Yes
Rahul,28.0,81570,No
Kavya,45.0,120084,No
Aditya,42.0,62892,No
Aditya,40.0,26015,Yes
Meera,48.0,149704,Yes
Diya,47.0,86813,No
Simran,59.0,52712,Yes
Aditya,52.0,125497,Yes
Nisha,,33415,Yes
Sneha,,136854,No
Nisha,43.0,137816,No
Arjun,19.0,87292,Yes
Arjun,18.0,48833,No
Neha,29.0,29158,Yes
Diya,22.0,87680,Yes
Sneha,54.0,45309,Yes
Sai,49.0,31970,Yes
Rohan,26.0,97474,No
Priya,58.0,111704,No
Aditi,52.0,71540,No
Aisha,,45384,Yes
Sanjay,33.0,43017,Yes
Krishna,20.0,100880,Yes
Sneha,37.0,130570,No
Nisha,41.0,33702,Yes
Meera,50.0,25384,No
Riya,41.0,25404,No
Krishna,28.0,65943,No
Riya,25.0,72926,No
Karan,53.0,54189,No
Amit,55.0,37763,No
Neha,57.0,43384,Yes
Pooja,37.0,85100,Yes
Raj,52.0,123142,No
Ananya,42.0,34860,No
Priya,52.0,129293,Yes
Ananya,42.0,105642,No
Vihaan,46.0,75612,No
Rahul,35.0,48574,Yes
Rahul,35.0,48524,No
Aditya,19.0,94172,No
Vikram,52.0,35916,No
Aarav,33.0,29809,Yes
Kavya,,57201,Yes
Sneha,53.0,78330,Yes
Rahul,50.0,38456,No
Kavya,21.0,138748,No
Rahul,50.0,81397,Yes
Aarav,31.0,146288,No
Aditya,38.0,63765,No
Riya,37.0,59816,No
Pooja,,70106,No
Vivaan,24.0,78932,No
Rahul,20.0,42100,Yes
Aditya,34.0,82091,No
Vivaan,50.0,46949,Yes
Aditi,29.0,95080,No
Vikram,39.0,62744,Yes
Aditya,39.0,70543,No
Priya,47.0,133319,Yes
Rahul,55.0,117193,No
Rohan,55.0,61187,Yes
Neha,25.0,137734,No
Diya,44.0,32239,Yes
Krishna,44.0,149454,No
Sneha,51.0,39489,Yes
Arjun,,139937,Yes
Meera,47.0,83017,No
Kavya,50.0,86877,No
Kavya,45.0,68125,Yes
Diya,50.0,74922,No
Rahul,22.0,119074,Yes
Ishita,36.0,57049,Yes
Diya,21.0,62131,Yes
Ishita,52.0,67944,No
Sanjay,34.0,140765,Yes
Krishna,45.0,98963,Yes
Vihaan,47.0,131884,No
Vihaan,46.0,49285,No
Neha,23.0,62626,No
Sanjay,52.0,67808,No
Raj,58.0,113464,Yes
Sanjay,54.0,78871,Yes
Sanjay,41.0,44198,Yes
Ananya,46.0,44758,Yes
Aditi,48.0,40254,No
Meera,52.0,69238,Yes
Vivaan,,26252,Yes
Neha,38.0,64764,No
Pooja,49.0,102709,Yes
Pooja,40.0,62441,Yes
Vihaan,50.0,117234,Yes
Vivaan,,78682,Yes
Amit,35.0,84494,Yes
Meera,42.0,106317,Yes
Vikram,59.0,90215,No
Ishita,,103587,No
Aditi,20.0,130185,Yes
Vihaan,57.0,31949,Yes
Rahul,41.0,132825,No
Krishna,49.0,80393,Yes
Krishna,39.0,98553,Yes
Sneha,40.0,31941,Yes
Ananya,19.0,50934,No
Arjun,44.0,48386,Yes
Sanjay,59.0,86886,No
Sai,19.0,100745,Yes
Rohan,43.0,108251,No
Ananya,34.0,119456,No
Rahul,57.0,78413,Yes
Aditi,50.0,81800,No
Aditya,26.0,122239,Yes
Ananya,60.0,67318,No
Ishita,56.0,144803,Yes
Aditi,46.0,95173,Yes
Aditi,59.0,95390,No
Sneha,,77329,Yes
Vihaan,52.0,147418,Yes
Vivaan,42.0,68088,No
Pooja,41.0,141868,Yes
Sneha,,128196,Yes
Simran,24.0,64811,No
Aarav,53.0,139825,No
Aditya,37.0,80479,Yes
Nisha,18.0,110392,Yes
Aditi,,112369,No
Rahul,33.0,142520,No
Sai,31.0,44963,Yes
Sanjay,,80123,No
Diya,40.0,127468,Yes
Diya,32.0,117705,Yes
Krishna,45.0,98477,Yes
Aditi,51.0,39388,Yes
Amit,19.0,30569,Yes
Vivaan,49.0,94836,No
Sai,,129573,No
Amit,39.0,61586,No
Aarav,42.0,37015,No
Amit,39.0,70002,Yes
Rohan,39.0,141594,Yes
Ishita,59.0,31254,Yes
Ishita,,42144,Yes
Ananya,32.0,49214,No
Karan,60.0,130654,Yes
Sanjay,54.0,105719,Yes
Riya,50.0,96774,No
Meera,25.0,31090,No
Ishita,22.0,36637,No
Sneha,56.0,47415,No
Neha,21.0,49071,Yes
Riya,23.0,83243,Yes
Diya,49.0,135951,No
Arjun,,133215,Yes
Krishna,52.0,66240,Yes
Karan,57.0,108807,Yes
Krishna,33.0,126570,No
Vivaan,30.0,58434,Yes
Kavya,59.0,94724,No
Meera,47.0,140359,Yes
Sneha,36.0,100697,Yes
Vivaan,34.0,53732,Yes
Meera,36.0,146465,No
Vikram,45.0,36314,Yes
Vivaan,43.0,48954,No
Vivaan,,82108,No
Kavya,43.0,112044,No
Diya,40.0,112505,Yes
Priya,26.0,136195,Yes
Aditi,29.0,128081,Yes
Priya,,61668,Yes
Sai,18.0,48061,No
Vivaan,51.0,104252,No
Priya,49.0,64749,No
Aditya,42.0,129680,Yes
Aditi,57.0,41907,No
Sai,18.0,43777,Yes
Aditya,33.0,118229,No
Aisha,56.0,76745,Yes
Aditya,22.0,133464,Yes
Neha,,116865,No
Aditi,46.0,137428,No
Rahul,20.0,106818,No
Amit,29.0,48624,No
Vihaan,,48321,Yes
Kavya,33.0,35488,No
Rahul,54.0,47574,No
Kavya,39.0,30240,No
Aisha,46.0,68221,Yes
Vivaan,,35478,Yes
Aisha,45.0,80645,No
Aditya,22.0,135698,Yes
Sanjay,47.0,44262,No
Neha,22.0,143831,Yes
Kavya,29.0,77796,Yes
Kavya,33.0,29432,Yes
Priya,43.0,120257,Yes
Vikram,43.0,89291,No
Rohan,38.0,104104,No
Krishna,56.0,84399,No
Neha,53.0,104714,Yes
Riya,50.0,75428,No
Vikram,47.0,112731,No
Rahul,54.0,25302,No
Rohan,40.0,107558,Yes
Amit,27.0,25055,Yes
Arjun,,136317,Yes
Neha,,33717,No
Pooja,51.0,53699,No
Karan,48.0,98686,No
Ananya,27.0,92661,Yes
Vikram,36.0,69247,Yes
Nisha,49.0,139049,No
Aditya,,41748,Yes
Aarav,22.0,130113,Yes
Ananya,21.0,29621,Yes
Aisha,33.0,40034,Yes
Kavya,41.0,136927,No
Vihaan,33.0,30126,Yes
Aditya,19.0,30122,Yes
Sneha,45.0,43030,Yes
Krishna,49.0,107838,Yes
Priya,44.0,109717,No
Rohan,37.0,80658,No
Arjun,41.0,63638,Yes
Raj,29.0,92067,Yes
Aditya,52.0,131476,Yes
Rahul,50.0,143033,Yes
Raj,50.0,130977,Yes
Karan,60.0,113869,Yes
Sai,54.0,130186,No
Ananya,29.0,59674,Yes
Simran,20.0,60854,No
Sneha,18.0,71271,No
Riya,50.0,98688,Yes
Karan,,63518,No
Aisha,27.0,136076,No
Ishita,60.0,35267,No
Pooja,46.0,115825,No
Priya,30.0,26062,No
Aarav,29.0,141664,No
Neha,48.0,75448,Yes
Simran,19.0,120462,No
Sneha,52.0,31229,No
Karan,40.0,81793,No
Neha,34.0,139813,Yes
Vihaan,43.0,72915,No
Arjun,25.0,29632,Yes
Rohan,46.0,129592,No
Vihaan,43.0,28596,Yes
Vihaan,,134779,Yes
Meera,43.0,31168,No
Sneha,51.0,133099,No
Arjun,,32561,Yes
Rohan,24.0,98794,No
Karan,21.0,107152,Yes
Aisha,28.0,149049,Yes
Krishna,46.0,51734,Yes
Riya,53.0,31371,Yes
Vikram,42.0,143894,Yes
Krishna,38.0,51069,No
Neha,53.0,104905,Yes
Pooja,27.0,37910,Yes
Aditi,54.0,98479,No
Rohan,26.0,102735,Yes
Priya,41.0,106264,No
Diya,,48275,No
Rohan,52.0,97274,No
Aditi,53.0,106449,Yes
